pozycja,term,n,y0,peak_year,docs_total,prevalence_2021_2025
327,dm,1,2016,2025,318,0.002480777600464239
328,eligible study,2,2021,2025,342,0.002466270129116495
329,asd surgery,2,2017,2025,271,0.002466270129116495
330,surgical factor,2,2012,2025,368,0.002451762657768751
331,cumulative incidence,2,2017,2025,341,0.002451762657768751
332,intraoperative bleeding,2,2023,2023,306,0.002451762657768751
333,current procedural terminology code,4,2017,2024,360,0.002437255186421007
334,sane,1,2019,2025,296,0.002437255186421007
335,ssis,1,2015,2025,452,0.0024227477150732626
336,dissemination,1,2016,2025,368,0.0024227477150732626
337,multivariable logistic regression analysis,4,2016,2024,321,0.0024227477150732626
338,cone beam computed tomography,4,2012,2025,411,0.002408240243725519
339,each cohort,2,2018,2025,283,0.002408240243725519
340,shared decision making,3,2019,2022,279,0.002408240243725519
341,atsa,1,2020,2025,210,0.0023937327723777746
342,adult spinal deformity surgery,4,2016,2025,288,0.0023792253010300303
343,aor,1,2019,2025,255,0.0023792253010300303
344,significantly higher risk,3,2022,2025,351,0.0023647178296822865
345,larger sample size,3,2022,2025,311,0.0023647178296822865
346,fea,1,2021,2025,280,0.0023647178296822865
347,surgical detail,2,2021,2025,278,0.0023647178296822865
348,2 test,2,2014,2022,324,0.0023502103583345423
349,higher bmi,2,2015,2025,299,0.0023502103583345423
350,spinopelvic parameter,2,2018,2025,263,0.0023502103583345423
351,9 3,2,2018,2023,441,0.002335702886986798
352,ssv,1,2017,2025,288,0.002335702886986798
353,calibration,1,2021,2023,247,0.002335702886986798
354,six study,2,2013,2025,358,0.0023211954156390543
355,ethic,1,2017,2025,312,0.00230668794429131
356,acute kidney injury,3,2017,2025,257,0.00230668794429131
357,incidence and risk factor,4,2014,2022,390,0.002292180472943566
358,ohs,1,2012,2022,388,0.002292180472943566
359,five study,2,2014,2024,369,0.002292180472943566
360,rtha,1,2020,2025,216,0.002292180472943566
361,valuable insight,2,2023,2025,187,0.002292180472943566
362,relevant study,2,2015,2024,369,0.002277673001595822
363,knee joint function,3,2020,2024,258,0.002277673001595822
364,four study,2,2017,2024,367,0.002263165530248078
365,robotic assistance,2,2021,2025,203,0.002263165530248078
366,mid term outcome,3,2016,2025,321,0.0022486580589003336
367,cochrane risk,2,2020,2025,228,0.0022341505875525898
368,secondary endpoint,2,2014,2025,403,0.0022196431162048455
369,seven study,2,2015,2025,340,0.0022196431162048455
370,medicaid service,2,2016,2025,336,0.0022196431162048455
371,three study,2,2015,2022,321,0.0022196431162048455
372,reimbursement,1,2016,2025,400,0.0022051356448571013
373,eight study,2,2017,2025,317,0.0022051356448571013
374,independent factor,2,2016,2024,304,0.0022051356448571013
375,18 2,2,2022,2024,349,0.0021906281735093575
376,cut off value,3,2017,2023,286,0.0021906281735093575
377,tegner activity scale,3,2012,2024,368,0.0021761207021616133
378,primary total joint arthroplasty,4,2017,2022,309,0.0021761207021616133
379,higher body mass index,4,2020,2025,275,0.0021761207021616133
380,certainty,1,2021,2025,218,0.0021761207021616133
381,surgical orthopedic,2,2019,2025,216,0.0021761207021616133
382,all prom,2,2021,2024,187,0.0021761207021616133
383,coronal alignment,2,2020,2025,341,0.002161613230813869
384,ao ota,2,2021,2025,296,0.002161613230813869
385,comparable outcome,2,2020,2025,276,0.002161613230813869
386,maximum stress,2,2020,2022,265,0.002161613230813869
387,rcr,1,2018,2022,262,0.002161613230813869
388,nomogram,1,2020,2025,190,0.002161613230813869
389,cox proportional hazard model,4,2020,2025,334,0.0021471057594661253
390,demographic variable,2,2018,2025,294,0.0021471057594661253
391,mechanical alignment,2,2018,2025,298,0.002132598288118381
392,operative duration,2,2020,2025,266,0.002132598288118381
393,uiv,1,2017,2025,262,0.002132598288118381
394,fracture healing time,3,2016,2025,320,0.002118090816770637
395,inferior outcome,2,2014,2024,318,0.002118090816770637
396,univariate and multivariate analysis,4,2019,2025,309,0.002118090816770637
397,ar,1,2019,2023,259,0.002118090816770637
398,scb,1,2020,2025,199,0.002118090816770637
399,decision curve analysis,3,2021,2025,164,0.002118090816770637
400,patient specific instrumentation,3,2013,2025,344,0.0020890758740751488
401,dexamethasone,1,2020,2025,305,0.0020890758740751488
402,0 0,2,2016,2024,285,0.0020890758740751488
403,multivariable regression analysis,3,2018,2024,248,0.0020890758740751488
404,baseline demographic,2,2019,2022,228,0.0020890758740751488
405,non randomized study,3,2020,2025,222,0.0020890758740751488
406,large cohort,2,2017,2019,357,0.0020745684027274045
407,title,1,2016,2022,307,0.0020745684027274045
408,hoo,1,2014,2025,304,0.0020745684027274045
409,implant retention,2,2018,2025,254,0.0020745684027274045
410,surgical data,2,2018,2022,253,0.0020600609313796607
411,independent t test,3,2016,2025,293,0.0020455534600319165
412,adductor canal block,3,2016,2021,288,0.0020455534600319165
413,purpose hypothesis,2,2019,2019,269,0.0020455534600319165
414,quickdash,1,2014,2021,313,0.0020310459886841723
415,25 0,2,2020,2025,298,0.0020310459886841723
416,postoperative clinical outcome,3,2017,2025,268,0.0020310459886841723
417,study quality,2,2019,2025,263,0.0020310459886841723
418,oblique lumbar interbody fusion,4,2019,2024,199,0.0020310459886841723
419,latarjet procedure,2,2018,2024,326,0.002016538517336428
420,all outcome,2,2017,2023,290,0.002016538517336428
421,owhto,1,2017,2019,282,0.002016538517336428
422,single assessment numeric evaluation,4,2018,2024,251,0.002016538517336428
423,promis,1,2019,2025,216,0.002016538517336428
424,percutaneous endoscopic lumbar discectomy,4,2016,2018,323,0.0020020310459886843
425,bias tool,2,2019,2025,226,0.0020020310459886843
426,elixhauser comorbidity index,3,2022,2024,171,0.0020020310459886843
427,pearldiver database,2,2022,2022,197,0.00198752357464094
428,ovid,1,2011,2022,347,0.001973016103293196
429,this prospective cohort study,4,2017,2025,342,0.001973016103293196
430,postoperative complication rate,3,2014,2025,291,0.001973016103293196
431,eligible patient,2,2021,2025,262,0.001973016103293196
432,liv,1,2020,2025,261,0.001973016103293196
433,ovid medline,2,2018,2024,257,0.001973016103293196
434,femoroacetabular impingement fai,3,2012,2016,451,0.001958508631945452
435,longer length,2,2017,2024,299,0.001958508631945452
436,modified macnab criterion,3,2017,2025,260,0.001958508631945452
437,arcr,1,2020,2024,208,0.001958508631945452
438,prediction model,2,2019,2024,204,0.001958508631945452
439,lower odd,2,2019,2025,206,0.0019440011605977078
440,90 day complication,3,2020,2024,196,0.0019294936892499638
441,fns,1,2021,2024,142,0.0019294936892499638
442,hospital readmission,2,2014,2022,348,0.0019149862179022197
443,calibration curve,2,2022,2025,141,0.0019149862179022197
444,30 day mortality,3,2012,2021,336,0.0019004787465544755
445,transfemoral amputation,2,2013,2025,295,0.0019004787465544755
446,modifiable risk factor,3,2018,2025,267,0.0019004787465544755
447,primary tja,2,2018,2024,238,0.0019004787465544755
448,surgery duration,2,2018,2025,228,0.0019004787465544755
449,single center retrospective study,4,2020,2025,204,0.0019004787465544755
450,retear rate,2,2017,2023,288,0.0018859712752067315
451,research question,2,2018,2018,276,0.0018859712752067315
452,radiological and clinical outcome,4,2018,2024,272,0.0018859712752067315
453,upper instrumented vertebra,3,2020,2025,255,0.0018859712752067315
454,metric,1,2018,2024,237,0.0018859712752067315
455,hounsfield unit,2,2022,2025,220,0.0018859712752067315
456,3 month follow up,4,2016,2025,371,0.0018714638038589875
457,visual analog scale pain score,5,2017,2025,322,0.0018714638038589875
458,peld,1,2016,2018,301,0.0018714638038589875
459,cda,1,2016,2023,263,0.0018714638038589875
460,retrospective cohort analysis,3,2021,2025,216,0.0018714638038589875
461,fjs 12,2,2020,2025,185,0.0018714638038589875
462,therefore this study,3,2023,2025,163,0.0018714638038589875
463,machine learning model,3,2022,2024,142,0.0018714638038589875
464,wmd,1,2015,2019,336,0.0018569563325112433
465,tk,1,2017,2022,264,0.0018569563325112433
466,lateral extra articular tenodesis,4,2020,2025,178,0.0018569563325112433
467,bone joint j,3,2016,2017,634,0.0018424488611634992
468,mean sd,2,2011,2020,405,0.0018424488611634992
469,multimodal analgesia,2,2021,2025,271,0.0018424488611634992
470,t nnis grade,3,2017,2021,247,0.0018424488611634992
471,volar locking plate,3,2016,2024,363,0.001827941389815755
472,mua,1,2022,2022,239,0.001827941389815755
473,t1 slope,2,2018,2025,231,0.001827941389815755
474,revision risk,2,2019,2025,231,0.001827941389815755
475,postoperative hospital stay,3,2023,2023,216,0.001827941389815755
476,roc analysis,2,2022,2025,200,0.001827941389815755
477,hu,1,2022,2025,197,0.001827941389815755
478,10 0,2,2022,2025,285,0.001813433918468011
479,prwe,1,2018,2023,246,0.001813433918468011
480,cl,1,2020,2024,224,0.001813433918468011
481,pi ll,2,2022,2024,207,0.001813433918468011
482,adverse reaction,2,2011,2025,379,0.001798926447120267
483,10 1,2,2018,2025,298,0.001798926447120267
484,mean sd age,3,2018,2025,286,0.001798926447120267
485,distal femur fracture,3,2014,2025,264,0.001798926447120267
486,minimum 10 year follow up,5,2022,2024,220,0.001798926447120267
487,same day discharge,3,2020,2025,177,0.0017844189757725227
488,chinese clinical trial registry,4,2021,2025,153,0.0017844189757725227
489,femoral neck system,3,2022,2024,124,0.0017844189757725227
490,these risk factor,3,2016,2024,279,0.0017699115044247787
491,pooled analysis,2,2018,2021,251,0.0017699115044247787
492,embase database,2,2020,2022,209,0.0017699115044247787
493,chronic periprosthetic joint infection,4,2020,2022,185,0.0017699115044247787
494,potential confounder,2,2018,2025,275,0.0017554040330770347
495,clinicaltrial gov,2,2018,2019,269,0.0017554040330770347
496,lp,1,2021,2025,229,0.0017554040330770347
497,eos,1,2016,2020,275,0.0017408965617292905
498,patient reported outcome score,4,2016,2018,273,0.0017408965617292905
499,malnutrition,1,2018,2025,237,0.0017408965617292905
500,emergency department visit,3,2022,2025,181,0.0017408965617292905
501,clinical question,2,2011,2023,357,0.0017263890903815465
502,pubmed medline,2,2016,2024,263,0.0017263890903815465
