grupa,rok_szczytu,powiklanie,y0_powiklania,wyprzedzenie_lat,wyprzedza,prac_grupy,prac_powiklania,wspolnych,krotnosc,pasmo
mechanical alignment,2025,knee osteoarthritis,2015,-10,True,301,1991,12,5.4,bez zaniku
medial unicompartmental knee arthroplasty,2025,knee injury,2016,-9,True,417,1153,13,7.3,bez zaniku
mesenchymal stem cell,2013,onfh,2015,2,False,473,386,8,11.9,3. BRAK przekonujacych dowodow
microfracture,2012,olt,2023,11,False,388,179,20,78.1,3. BRAK przekonujacych dowodow
microfracture,2012,femoroacetabular impingement,2007,-5,True,388,546,9,11.5,3. BRAK przekonujacych dowodow
microfracture,2012,femoroacetabular impingement fai,2010,-2,True,388,449,7,10.9,3. BRAK przekonujacych dowodow
microfracture,2012,knee injury,2016,4,False,388,1153,16,9.7,3. BRAK przekonujacych dowodow
microfracture,2012,fai,2010,-2,True,388,571,7,8.6,3. BRAK przekonujacych dowodow
microfracture,2012,femoroacetabular impingement syndrome,2018,6,False,388,453,5,7.7,3. BRAK przekonujacych dowodow
minimally invasive plate osteosynthesis,2015,proximal humerus fracture,2022,7,False,273,767,15,19.4,bez zaniku
minimally invasive plate osteosynthesis,2015,clavicle fracture,2015,0,False,273,309,6,19.3,bez zaniku
mom total hip arthroplasty,2018,pseudotumor,2011,-7,True,119,191,16,191.0,1. dowody PRZECIW
mom total hip arthroplasty,2018,metal debris,2012,-6,True,119,302,23,173.7,1. dowody PRZECIW
mom total hip arthroplasty,2018,adverse local tissue reaction,2014,-4,True,119,218,14,146.4,1. dowody PRZECIW
motor evoked potential,2025,distal humerus fracture,2022,-3,True,592,219,23,48.1,bez zaniku
oblique lateral interbody fusion,2022,cage subsidence,2017,-5,True,139,446,26,113.8,bez zaniku
oblique lateral interbody fusion,2022,degenerative lumbar disease,2015,-7,True,139,259,15,113.1,bez zaniku
oblique lateral interbody fusion,2022,dls,2021,-1,True,139,152,6,77.1,bez zaniku
oblique lateral interbody fusion,2022,lumbar degenerative disease,2012,-10,True,139,511,19,72.6,bez zaniku
oblique lateral interbody fusion,2022,adjacent segment disease,2010,-12,True,139,640,5,15.3,bez zaniku
oblique lateral interbody fusion,2022,asd,2013,-9,True,139,1202,6,9.7,bez zaniku
oblique lumbar interbody fusion,2022,cage subsidence,2017,-5,True,375,446,71,115.2,bez zaniku
oblique lumbar interbody fusion,2022,ldd,2023,1,False,375,87,10,83.2,bez zaniku
oblique lumbar interbody fusion,2022,degenerative lumbar disease,2015,-7,True,375,259,26,72.6,bez zaniku
oblique lumbar interbody fusion,2022,dls,2021,-1,True,375,152,14,66.6,bez zaniku
oblique lumbar interbody fusion,2022,lumbar degenerative disease,2012,-10,True,375,511,47,66.5,bez zaniku
