pozycja,term,n,y0,peak_year,docs_total,prevalence_pct,peak_share_pct,kategoria,wariant_do,na_mapie,w_rdzeniu_4
264,substantial clinical benefit,3,2019,2025,276,0.295,0.409,metoda,,False,False
265,5 0,2,2023,2025,457,0.293,0.387,metoda,,False,False
266,international classification,2,2011,2017,597,0.292,0.39,metoda,,False,False
267,keyword,1,2015,2024,409,0.29,0.318,metoda,,False,False
268,healthcare system,2,2019,2024,377,0.289,0.361,organizacja,,False,False
269,multivariate regression analysis,3,2014,2019,435,0.287,0.341,metoda,,False,False
270,demographic information,2,2018,2023,383,0.287,0.36,metoda,,False,False
271,matched cohort,2,2016,2023,415,0.284,0.352,metoda,,False,False
272,standardized mean difference,3,2014,2025,373,0.283,0.395,metoda,,False,False
273,lateral center edge angle,4,2015,2023,363,0.283,0.376,parametr,,False,False
274,methodological index,2,2017,2025,303,0.283,0.359,metoda,,False,False
275,observation group,2,2019,2025,275,0.283,0.337,metoda,,False,False
276,frailty,1,2021,2025,257,0.281,0.395,rozpoznanie,,True,True
277,independent sample t test,4,2021,2025,350,0.28,0.352,metoda,,False,False
278,cnki,1,2015,2024,358,0.279,0.369,metoda,,False,False
279,increased odd,2,2016,2022,348,0.279,0.316,metoda,,False,False
280,1 1 ratio,3,2019,2025,309,0.279,0.452,metoda,,False,False
281,retear,1,2018,2024,425,0.277,0.361,rozpoznanie,,True,False
282,medial unicompartmental knee arthroplasty,4,2014,2025,410,0.277,0.344,technika,,True,False
283,subjective shoulder value,3,2018,2021,400,0.277,0.319,skala,,False,False
284,ethnicity,1,2022,2024,337,0.277,0.333,organizacja,,False,False
285,aseptic revision,2,2017,2023,328,0.277,0.344,wynik,,False,False
286,narrative review,2,2019,2025,292,0.277,0.337,metoda,,False,True
287,mental health,2,2023,2025,398,0.276,0.38,rozpoznanie,,True,False
288,included patient,2,2017,2024,310,0.276,0.311,metoda,,False,False
289,receiver operating characteristic roc curve,5,2018,2025,287,0.276,0.337,metoda,,False,False
290,3d printing,2,2017,2025,336,0.273,0.344,technologia,,True,False
291,pao,1,2012,2024,398,0.271,0.361,technika,periacetabular osteotomy,True,False
